driver_id,trip_id,date,pickup_timestamp,dropoff_timestamp,is_canceled,is_weekend,is_rain,is_event,pickup_zone,pickup_zone_name,dropoff_zone,dropoff_zone_name,surge_multiplier,surge_applied,distance_km,duration_min,fare_base,fare_time,fare_distance,fare_total,tip_amount,cancel_fee,service_fee,driver_earnings,pickup_lat,pickup_lng,dropoff_lat,dropoff_lng
D0001,683e2054-2d14-4b81-9f52-8c508e59a387,2025-09-15,2025-09-15T07:43:00,2025-09-15T07:52:00,0,0,0,0,CBD,CBD & Haymarket,WEST,Western Sydney,1.023,1,3.42,9,4.74,0.86,5.41,11.26,0.0,0.0,3.31,7.95,-33.875674,151.196891,-33.751494,150.839387
D0001,d93076b8-7492-48a1-853f-a30774d68bb3,2025-09-15,2025-09-15T07:47:00,2025-09-15T08:20:00,0,0,0,0,EAST,Eastern Suburbs,EAST,Eastern Suburbs,1.013,1,13.02,33,4.74,3.14,20.6,28.86,0.0,0.0,8.48,20.38,-33.897374,151.275536,-33.857757,151.254091
D0001,f2022302-ee99-48c9-81bb-660d28e2c0c9,2025-09-15,2025-09-15T07:49:00,2025-09-15T08:07:00,0,0,0,0,SOUTH,St George & Shire,SOUTH,St George & Shire,1.005,1,5.5,18,4.74,1.71,8.7,15.23,0.0,0.0,4.48,10.75,-34.062569,151.02197,-34.030073,151.037031
D0001,ff975219-3057-4b61-943b-f467ae0bfc5a,2025-09-15,2025-09-15T07:50:00,2025-09-15T08:14:00,0,0,0,0,PARRA,Parramatta,CBD,CBD & Haymarket,1.007,1,7.72,24,4.74,2.28,12.21,19.37,1.72,0.0,5.69,15.4,-33.837243,151.000148,-33.865819,151.231358
D0001,483902ec-1fbd-488c-811f-90bfe5e4026a,2025-09-15,2025-09-15T08:06:00,2025-09-15T08:23:00,0,0,0,0,WEST,Western Sydney,WEST,Western Sydney,1.004,1,5.51,17,4.74,1.62,8.72,15.14,3.8,0.0,4.45,14.49,-33.788664,150.799485,-33.828348,150.840008
D0001,11122714-8c44-4b75-9c94-bf02b460b1a9,2025-09-15,2025-09-15T08:56:00,2025-09-15T09:16:00,0,0,0,0,CBD,CBD & Haymarket,CBD,CBD & Haymarket,1.023,1,6.61,20,4.74,1.9,10.46,17.49,0.0,0.0,5.14,12.35,-33.878463,151.225059,-33.895953,151.200905
D0001,490b9937-eeac-417d-8694-616f99a8a168,2025-09-15,2025-09-15T09:34:00,2025-09-15T10:00:00,0,0,0,0,EAST,Eastern Suburbs,EAST,Eastern Suburbs,1.013,1,7.6,26,4.74,2.47,12.02,19.49,0.0,0.0,5.73,13.76,-33.906511,151.256954,-33.887759,151.242547
D0001,d2af4052-0347-428c-8289-d6a27528b523,2025-09-15,2025-09-15T10:55:00,2025-09-15T11:14:00,0,0,0,0,SOUTH,St George & Shire,PARRA,Parramatta,1.005,1,8.22,19,4.74,1.81,13.0,19.65,0.0,0.0,5.78,13.87,-34.066683,151.034973,-33.78381,151.027986
D0001,16277065-e776-4c16-b297-d187fda04541,2025-09-16,2025-09-16T07:51:00,2025-09-16T08:20:00,0,0,1,0,NORTH,Lower North Shore,NORTH,Lower North Shore,1.197,1,8.95,29,4.74,2.76,14.16,25.93,0.0,0.0,7.62,18.31,-33.824959,151.176136,-33.833265,151.226578
D0001,4ca6024b-f5c3-4c66-8616-129c6ded6313,2025-09-16,2025-09-16T07:58:00,2025-09-16T08:30:00,0,0,1,0,EAST,Eastern Suburbs,INNER,Inner West,1.197,1,10.37,32,4.74,3.04,16.4,28.94,0.0,0.0,8.51,20.43,-33.8876,151.207329,-33.923562,151.153045
