driver_id,date,hour,day_of_week,is_weekend,total_trips,total_canceled_trips,total_minutes_worked,total_earnings,average_surge,any_rain,weather,is_event,competition_index
D0009,2025-09-15,10,0,0,4,0,110,49.66,1.0,0,clear,0,0.53
D0009,2025-09-15,11,0,0,1,0,22,10.66,1.0,0,clear,0,0.53
D0009,2025-09-15,14,0,0,1,0,21,10.88,1.0,0,clear,0,0.53
D0009,2025-09-16,15,1,0,1,0,24,13.57,1.239,1,rain,0,0.51
D0009,2025-09-16,16,1,0,3,0,42,41.03,1.2213333333333332,1,rain,0,0.51
D0009,2025-09-16,17,1,0,1,0,5,15.75,1.227,1,rain,0,0.51
D0009,2025-09-17,15,2,0,1,0,20,9.62,1.01,0,clear,0,0.65
D0009,2025-09-17,16,2,0,2,0,39,24.240000000000002,1.0175,0,clear,0,0.65
D0009,2025-09-17,17,2,0,1,0,1,12.51,1.013,0,clear,0,0.65
D0009,2025-09-18,8,3,0,4,0,97,56.06,1.211,1,rain,0,0.47
D0009,2025-09-18,9,3,0,2,0,47,33.230000000000004,1.2195,1,rain,0,0.47
D0009,2025-09-19,17,4,0,3,0,55,34.58,1.246,1,rain,0,0.37
D0009,2025-09-19,18,4,0,4,0,84,57.75,1.2415,1,rain,0,0.37
D0009,2025-09-20,9,5,1,3,0,66,38.23,1.1476666666666666,0,clear,1,0.41
D0009,2025-09-20,10,5,1,4,0,123,59.72,1.1555,0,clear,1,0.41
D0009,2025-09-20,14,5,1,1,0,18,11.26,1.15,0,clear,1,0.41
D0009,2025-09-21,9,6,1,5,0,106,74.92,1.2992000000000001,0,clear,1,0.44
D0009,2025-09-21,10,6,1,2,0,45,27.66,1.304,0,clear,1,0.44
D0009,2025-09-21,15,6,1,1,0,9,9.24,1.296,0,clear,1,0.44
D0009,2025-09-22,14,0,0,1,0,29,12.03,1.0,0,clear,0,0.53
D0009,2025-09-22,15,0,0,1,0,14,7.61,1.0,0,clear,0,0.53
D0009,2025-09-22,16,0,0,2,0,36,18.91,1.0,0,clear,0,0.53
D0009,2025-09-22,17,0,0,2,0,21,17.07,1.0,0,clear,0,0.53
D0009,2025-09-23,16,1,0,2,0,43,22.81,1.073,1,rain,0,0.51
D0009,2025-09-23,18,1,0,3,0,92,45.25,1.0703333333333334,1,rain,0,0.51
D0009,2025-09-23,19,1,0,1,0,10,7.09,1.063,1,rain,0,0.51
D0009,2025-09-24,8,2,0,4,0,76,45.769999999999996,1.0030000000000001,0,clear,0,0.65
D0009,2025-09-24,10,2,0,1,0,19,9.8,1.0,0,clear,0,0.65
D0009,2025-09-25,10,3,0,2,0,55,29.47,1.0,0,clear,0,0.58
D0009,2025-09-25,11,3,0,1,0,13,8.13,1.0,0,clear,0,0.58
D0009,2025-09-25,15,3,0,2,0,22,26.95,1.0,0,clear,0,0.58
D0009,2025-09-26,17,4,0,4,0,51,34.32,1.071,0,clear,0,0.48
D0009,2025-09-26,18,4,0,3,0,42,33.46,1.0723333333333334,0,clear,0,0.48
D0009,2025-09-27,14,5,1,1,0,8,8.14,1.299,0,clear,1,0.41
D0009,2025-09-27,16,5,1,3,0,78,48.29,1.3056666666666665,0,clear,1,0.41
D0009,2025-09-27,17,5,1,4,0,29,57.730000000000004,1.2965,0,clear,1,0.41
